raw,canonical_id,label,parent,family,founder,founded,note,status
Menkyo kaiden,scrape-artefact,Scrape artefact,,other,,,"Licence terminology, not a style",proposed
MenkyoMenkyo Kaiden,scrape-artefact,Scrape artefact,,other,,,"Licence terminology, not a style",proposed
Merited Maste,scrape-artefact,Scrape artefact,,other,,,Truncated title,proposed
Ryu Mi-yong,scrape-artefact,Scrape artefact,,other,,,Person (North Korean politician),proposed
Ryu Ryu Ko,scrape-artefact,Scrape artefact,,other,,,"Person: Ryuru Ko, Fuzhou teacher of Higaonna Kanryo, not a style; treated as artefact for consistency with other person rows. B mapped him to fujian-white-crane (his art)",proposed
Ryu Shaman King,scrape-artefact,Scrape artefact,,other,,,Fictional character,proposed
Ryu ga Gotoku 3,scrape-artefact,Scrape artefact,,other,,,Video game,proposed
Ryu school,scrape-artefact,Scrape artefact,,other,,,Generic term fragment,proposed
Self-test of Intelligence,scrape-artefact,Scrape artefact,,other,,,,proposed
Shunryu Suzuki,scrape-artefact,Scrape artefact,,other,,,Person (Zen teacher),proposed
Tenryu Saburo,scrape-artefact,Scrape artefact,,other,,,Person (sumo wrestler),proposed
The A-Team,scrape-artefact,Scrape artefact,,other,,,TV series,proposed
Udun Ryukyu,scrape-artefact,Scrape artefact,,other,,,Ryukyuan nobility term fragment,proposed
United States Civil Administration of the Ryukyu Islands,scrape-artefact,Scrape artefact,,other,,,"Ryukyu history page, not a style",proposed
United States Military Government of the Ryukyu Islands,scrape-artefact,Scrape artefact,,other,,,Ryukyu history page,proposed
University of the Ryukyus,scrape-artefact,Scrape artefact,,other,,,"Institution, not a style",proposed
Volcano and Ryukyu Islands campaign,scrape-artefact,Scrape artefact,,other,,,WWII campaign page,proposed
all-terrain vehicle,scrape-artefact,Scrape artefact,,other,,,,proposed
counter-terrorism,scrape-artefact,Scrape artefact,,other,,,,proposed
inta-netsutoa-kaibu,scrape-artefact,Scrape artefact,,other,,,Romanised Japanese web-text fragment,proposed
Seidokaikan,seidokaikan,Seidokaikan,ashihara,kyokushin,Kazuyoshi Ishii,1980,"Ishii Kazuyoshi, founded 1980 after leaving Ashihara (itself ex-Kyokushin). Curators disagreed: B parented directly to kyokushin; ashihara is the immediate parent | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan",proposed
Seidokaikan Karate,seidokaikan,Seidokaikan,ashihara,kyokushin,,,"Ishii Kazuyoshi, founded 1980 after leaving Ashihara (itself ex-Kyokushin). Curators disagreed: B parented directly to kyokushin; ashihara is the immediate parent",proposed
Seidokan,seidokan,Seidokan,shorin-ryu,shuri-te,Shian Toma,1984,"Okinawa Seidokan (Toma Shian), Shorin-Ryu; distinct from Seidokaikan and from Seidokan Aikido | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Okinawa_Seidokan | https://seidokankarate.org/shian-toma-biography",proposed
Seigokan,seigokan,Seigokan,goju-ryu,naha-te,Seigo Tada,1945,"Tada Seigo | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Seig%C5%8Dkan",proposed
Sekiguchi-ryu,sekiguchi-ryu,Sekiguchi-Ryu,,other,,,Jujutsu/iai koryu,proposed
Senbukan,senbukan,Senbukan,goju-ryu,naha-te,Kanki Izumigawa,1939,"Assumed Izumikawa Kanki's Goju-Ryu Senbukan. Curators disagreed: B classed it as unclear organisation (other) | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/plausible] https://en.wikipedia.org/wi",proposed
Senbukan Dojo,senbukan,Senbukan,goju-ryu,naha-te,,,Assumed Izumikawa Kanki's Goju-Ryu Senbukan. Curators disagreed: B classed it as unclear organisation (other),proposed
Shidokan Karate,shidokan,Shidokan,kyokushin,kyokushin,Yoshiji Soeno,1981,"Soeno Yoshiji; distinct from Shorin-Ryu Shido-kan | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Ba",proposed
Shindo Jinen Ryu,shindo-jinen-ryu,Shindo Jinen-Ryu,,japanese,Yasuhiro Konishi,1933," | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/S",proposed
Shindo jinen-ryu,shindo-jinen-ryu,Shindo Jinen-Ryu,,japanese,,,"Konishi Yasuhiro; Funakoshi, Mabuni and Motobu influences",proposed
Shindo Yoshin-ryu,shindo-yoshin-ryu,Shindo Yoshin-Ryu,,other,,,Jujutsu; antecedent of Wado-Ryu,proposed
Shinto-Yoshin-ryu,shindo-yoshin-ryu,Shindo Yoshin-Ryu,,other,,,Alternative reading of the same school,proposed
Shingetsu-ryu,shingetsu-ryu,Shingetsu-Ryu,,other,,,Koryu (shurikenjutsu),proposed
Shinkage-ryu,shinkage-ryu,Shinkage-Ryu,,other,,,Kenjutsu; includes Yagyu Shinkage-ryu line,proposed
Yagyu Shinkage-ryu,shinkage-ryu,Shinkage-Ryu,,other,,,Yagyu line of Shinkage-ryu kenjutsu; collapsed into shinkage-ryu. B kept a separate node,proposed
Shinkyokushin,shinkyokushin,Shinkyokushin,kyokushin,kyokushin,Kenji Midori,2003,"WKO Shinkyokushinkai (Midori Kenji) | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirm",proposed
Shinkyokushinkai Karate,shinkyokushin,Shinkyokushin,kyokushin,kyokushin,,,,proposed
Kasumi Shinto-ryu Kenjutsu,shinto-muso-ryu,Shinto Muso-Ryu,,other,,,Kenjutsu set taught within Shinto Muso-ryu; collapsed into shinto-muso-ryu. B kept a separate node,proposed
Shindo Muso-ryu,shinto-muso-ryu,Shinto Muso-Ryu,,other,,,Alternative reading of the same school,proposed
Shinto Muso-ryu,shinto-muso-ryu,Shinto Muso-Ryu,,other,,,Jojutsu koryu,proposed
Shirai-ryu,shirai-ryu,Shirai-Ryu,,other,,,Shurikenjutsu koryu (transmitted alongside Negishi-ryu). B suspected the fictional Mortal Kombat clan; the historical school exists,proposed
Shito-Kai,shito-ryu,Shito-Ryu,shuri-te,japanese,Kenwa Mabuni,1934,Organisational variant | [taxonomy:shito-ryu/confirmed] https://en.wikipedia.org/wiki/Shit%C5%8D-ry%C5%AB | https://shitokai.com/english/history/,proposed
Shito-Ryu,shito-ryu,Shito-Ryu,shuri-te,japanese,,,"Mabuni Kenwa; blend of Shuri-te (Itosu) and Naha-te (Higaonna), parent set to shuri-te",proposed
Shitokai,shito-ryu,Shito-Ryu,shuri-te,japanese,,,Organisational variant,proposed
Shitoryu,shito-ryu,Shito-Ryu,shuri-te,japanese,,,,proposed
shitokai,shito-ryu,Shito-Ryu,shuri-te,japanese,,,Shito-kai organisational variant,proposed
shitoryu,shito-ryu,Shito-Ryu,shuri-te,japanese,,,,proposed
Shobayashi Shorin-ryu,shobayashi-shorin-ryu,Shobayashi Shorin-Ryu,shorin-ryu,shuri-te,Eizō Shimabukuro (lineage of Chōtoku Kyan),,Shimabukuro Eizo | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Dbayashi_Sh%C5%8Drin-ry%C5%AB,proposed
Shodokan Aikido,shodokan-aikido,Shodokan Aikido,aikido,other,,,Tomiki Kenji,proposed
FileSeko Higa - Shodokan Goju-Ryujpg,shodokan-goju-ryu,Shodokan Goju-Ryu,goju-ryu,naha-te,Seko Higa,1960,"File markup artefact referring to Higa Seko's Shodokan | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Sek%C5%8D_Higa | https://www.shuriway.com/seiko-higa",proposed
Shodokan,shodokan-goju-ryu,Shodokan Goju-Ryu,goju-ryu,naha-te,,,"Higa Seko's branch; bare 'Shodokan' assumed Goju-Ryu in this dataset, not Tomiki aikido",proposed
Shodokan Goju-Ryu,shodokan-goju-ryu,Shodokan Goju-Ryu,goju-ryu,naha-te,,,Higa Seko,proposed
Shorei-ryu,shorei-ryu,Shorei-Ryu,naha-te,naha-te,,,Old paired name for the Naha-te tradition; also used by the Trias line,proposed
Shoreikan,shoreikan,Shoreikan,goju-ryu,naha-te,Seikichi Toguchi,1954,"Toguchi Seikichi | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Seikichi_Toguchi",proposed
Shorin-Ryu,shorin-ryu,Shorin-Ryu,shuri-te,shuri-te,Chōshin Chibana (named the style 1933; lineage of Sokon Matsumura's Shuri-te),1933, | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB | https://en.wikipedia.org/wiki/Chibana_Ch%C5%8Dshin,proposed
Shorin-ryu Shinkokai,shorin-ryu,Shorin-Ryu,shuri-te,shuri-te,,,Shinkokai organisation,proposed
shorinryu,shorin-ryu,Shorin-Ryu,shuri-te,shuri-te,,,,proposed
Shorin-ryu Kishaba Juku,shorin-ryu-kishaba-juku,Shorin-Ryu Kishaba Juku,matsubayashi-ryu,shuri-te,Chōkei Kishaba,1998,"Kishaba line, Yamanni-ryu-linked; id harmonised between drafts | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB_Kishaba_Juku | https://okinawa-karate-navi.com/en/dojo/detail/67/",proposed
Kaicho of Kyudokan,shorin-ryu-kyudokan,Shorin-Ryu Kyudokan,kobayashi-shorin-ryu,shuri-te,Yūchoku Higa,1947,Scrape artefact title phrase; maps to Shorin-Ryu Kyudokan | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB_Kyud%C5%8Dkan | https://kyudokankarate.in/history-of-kyudokan/,proposed
Shorin Ryu Kyudokan,shorin-ryu-kyudokan,Shorin-Ryu Kyudokan,kobayashi-shorin-ryu,shuri-te,,,"Higa Yuchoku, Kobayashi (Chibana) line. Curators disagreed on parent: B used shorin-ryu; reconciled to kobayashi-shorin-ryu",proposed
Shorin-ryu Kyudokan,shorin-ryu-kyudokan,Shorin-Ryu Kyudokan,kobayashi-shorin-ryu,shuri-te,,,,proposed
Shorin-Ryu Reihokan,shorin-ryu-reihokan,Shorin-Ryu Reihokan,kobayashi-shorin-ryu,shuri-te,Naonobu Ahagon,,Reihokan line. Curators disagreed: A collapsed into shorin-ryu; kept separate as an organised lineage | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB,proposed
Seibukan Shorin-Ryu,shorin-ryu-seibukan,Shorin-Ryu Seibukan,shorin-ryu,shuri-te,Zenryō Shimabukuro (lineage of Chōtoku Kyan),1962,Shimabukuro Zenryo (Sukunaihayashi); id harmonised between drafts | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB | https://sites.google.com/view/traditionalkarate/karate-articles/shorinji-shimabuku,proposed
Shorin-ryu Seibukan,shorin-ryu-seibukan,Shorin-Ryu Seibukan,shorin-ryu,shuri-te,,,Shimabukuro Zenryo (Sukunaihayashi); id harmonised between drafts,proposed
Shorin-ryu Shido-kan,shorin-ryu-shidokan,Shorin-Ryu Shido-kan,kobayashi-shorin-ryu,shuri-te,Katsuya Miyahira,1948,"Miyahira Katsuya, Kobayashi line; distinct from the Kyokushin-derived Shidokan of Soeno Yoshiji; id harmonised | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB_Shid%C5%8Dkan",proposed
First member dojo of Shorin-ryu Shorinkan,shorin-ryu-shorinkan,Shorin-Ryu Shorinkan,kobayashi-shorin-ryu,shuri-te,Shūgorō Nakazato,1975,Scrape artefact phrase | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%ABg%C5%8Dr%C5%8D_Nakazato | https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB,proposed
List of Shorin-ryu Shorinkan,shorin-ryu-shorinkan,Shorin-Ryu Shorinkan,kobayashi-shorin-ryu,shuri-te,,,Scrape artefact list page,proposed
Shorin-ryu Shorinkan,shorin-ryu-shorinkan,Shorin-Ryu Shorinkan,kobayashi-shorin-ryu,shuri-te,,,,proposed
Shorinkan,shorin-ryu-shorinkan,Shorin-Ryu Shorinkan,kobayashi-shorin-ryu,shuri-te,,,"Nakazato Shugoro, Kobayashi line; id harmonised between drafts",proposed
shorinkan,shorin-ryu-shorinkan,Shorin-Ryu Shorinkan,kobayashi-shorin-ryu,shuri-te,,,,proposed
shorinryushorinkan,shorin-ryu-shorinkan,Shorin-Ryu Shorinkan,kobayashi-shorin-ryu,shuri-te,,,"Scrape artefact, concatenated",proposed
Shorin Ryu Shubukan,shorin-ryu-shubukan,Shorin-Ryu Shubukan,kobayashi-shorin-ryu,shuri-te,Jōki Uema,1962,Uema dojo line. Curators disagreed: A collapsed into shorin-ryu; kept separate as an organised lineage | [taxonomy:shorin-ryu-tree/confirmed] https://www.shubukan.jp/ | https://okinawa-karate-navi.com/en/dojo/detail/104/,proposed
Shorinji-Ryu,shorinji-ryu,Shorinji-Ryu,shorin-ryu,shuri-te,Jōen Nakazato (lineage of Chōtoku Kyan),1954, | [taxonomy:shorin-ryu-tree/confirmed] http://www.okinawakarateshorinjiryu.com/lineage.html | https://worldbudoalliance.org/history-of-shorinji-ryu-karate/,proposed
Shorinjiryu,shorinji-ryu,Shorinji-Ryu,shuri-te,shuri-te,,,,proposed
shorinjiryu,shorinji-ryu,Shorinji-Ryu,shuri-te,shuri-te,,,,proposed
Shorinji-ryu Renshinkan,shorinji-ryu-renshinkan,Shorinji-Ryu Renshinkan,shorinji-ryu,shuri-te,Isamu Tamotsu,1955,Tamotsu Isamu | [taxonomy:shorin-ryu-tree/confirmed] https://worldbudoalliance.org/history-of-shorinji-ryu-karate/,proposed
Shorinjiryu Kenkokan,shorinjiryu-kenkokan,Shorinjiryu Kenkokan,shorin-ryu,shuri-te,Kōri Hisataka (Kudaka),1945,Hisataka Kori | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Drinjiry%C5%AB_Kenk%C5%8Dkan_Karate | https://en.wikipedia.org/wiki/K%C5%8Dri_Hisataka,proposed
Shorinjiryu Kenkokan Karate,shorinjiryu-kenkokan,Shorinjiryu Kenkokan,shorinji-ryu,shuri-te,,,,proposed
Shorinjiryu Kenyukai Watanabe Ha Karate,shorinjiryu-kenyukai,Shorinjiryu Kenyukai,shorinjiryu-kenkokan,shuri-te,Shunji Watanabe,1973,Watanabe branch of Kenkokan | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Shunji_Watanabe | https://www.shorinjiryu.org/kenyukai-watanabe-ha/,proposed
Shoto-kai,shotokai,Shotokai,shotokan,japanese,Shigeru Egami,1957," | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/plausible] https://en.wikipedia.org/wiki/S",proposed
Shotokai,shotokai,Shotokai,shotokan,japanese,,,Egami Shigeru,proposed
Karatenomichi World Federation,shotokan,Shotokan,shuri-te,japanese,Gichin Funakoshi,1936,"KWF (Yahara Mikio), Shotokan organisation | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/c",proposed
Shoto-ryu,shotokan,Shotokan,shuri-te,japanese,,,Shoto-ryu variant label,proposed
Shotokan,shotokan,Shotokan,shuri-te,japanese,,,"Funakoshi Gichin, from Shuri-te",proposed
Shotokan Karate,shotokan,Shotokan,shuri-te,japanese,,,,proposed
Shotokan Karate of America,shotokan,Shotokan,shuri-te,japanese,,,"SKA (Ohshima Tsutomu), organisation",proposed
Shotokan Ryu,shotokan,Shotokan,shuri-te,japanese,,,,proposed
Shotokan-Ryu,shotokan,Shotokan,shuri-te,japanese,,,,proposed
Shotokan-ryu,shotokan,Shotokan,shuri-te,japanese,,,,proposed
Shotoryu,shotokan,Shotokan,shuri-te,japanese,,,Variant label,proposed
shotokanryu,shotokan,Shotokan,shuri-te,japanese,,,,proposed
shotoryu,shotokan,Shotokan,shuri-te,japanese,,,Variant label,proposed
Shudokan,shudokan,Shudokan,shuri-te,shuri-te,Kanken Tōyama,1930,"Toyama Kanken, Itosu student | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] htt",proposed
Shudokan Aikido,shudokan-aikido,Shudokan Aikido,aikido,other,,,"Aikido school, distinct from Toyama Kanken's karate Shudokan. A collapsed it into aikido; kept separate to avoid confusion with the karate Shudokan",proposed
Shukokai,shukokai,Shukokai,shito-ryu,japanese,Chojiro Tani,1946,Tani Chojiro | [taxonomy:shito-ryu/confirmed] https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai | https://shukokai-world.net/shito-ryu-shukokai-masters/,proposed
Shuri-ryu,shuri-ryu,Shuri-Ryu,shuri-te,shuri-te,Robert Trias,1946,"Robert Trias, American style claiming Shuri-te roots | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo",proposed
Okinawan martial artsShuri-te,shuri-te,Shuri-te,te,shuri-te,,,Scrape artefact prefix,proposed
Shuri-te,shuri-te,Shuri-te,te,shuri-te,,,,proposed
Korean Taekwondo,taekwondo,Taekwondo,shotokan,korean,"Collective (kwan founders); name adopted 1955, championed by Choi Hong-hi",1955," | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia.org/wiki/T",proposed
Tae Kwon Do,taekwondo,Taekwondo,shotokan,korean,,,,proposed
Taekwon-do,taekwondo,Taekwondo,shotokan,korean,,,Historically via Shotokan-trained kwan founders,proposed
Taekwondo,taekwondo,Taekwondo,shotokan,korean,,,,proposed
Takenouchi-ryu,takenouchi-ryu,Takenouchi-Ryu,,other,,,Jujutsu koryu,proposed
Korean Tang Soo Do,tang-soo-do,Tang Soo Do,shotokan,korean,Hwang Kee,1945,"Hwang Kee, Moo Duk Kwan; hyung largely derived from Shotokan sources, so parent shotokan. Curators disagreed: B left parent empty (lineage contested) | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shind",proposed
Tang Soo Do,tang-soo-do,Tang Soo Do,shotokan,korean,,,"Hwang Kee, Moo Duk Kwan; hyung largely derived from Shotokan sources, so parent shotokan. Curators disagreed: B left parent empty (lineage contested)",proposed
Okinawa-te,te,Te,,te,,,Okinawa-te variant of the precursor term,proposed
Te,te,Te,,te,,,Pre-style Okinawan precursor,proposed
Tode,te,Te,,te,,,"Tode ('Chinese hand') precursor term; collapsed into te. Curators disagreed: A kept a separate tode node, B collapsed; reconciled to te since it denotes the same pre-style precursor, not a distinct organised style",proposed
Tote,te,Te,,te,,,"Tote spelling variant of Tode; collapsed into te. Curators disagreed: A kept a separate tode node, B collapsed; reconciled to te since it denotes the same pre-style precursor, not a distinct organised style",proposed
Tendo-ryu,tendo-ryu,Tendo-Ryu,,other,,,Naginatajutsu koryu,proposed
Tenjin Shinyo ryu,tenjin-shinyo-ryu,Tenjin Shinyo-Ryu,,other,,,,proposed
Tenjin Shinyo-ryu,tenjin-shinyo-ryu,Tenjin Shinyo-Ryu,,other,,,Jujutsu koryu,proposed
Matsumora-type Tomari-te,tomari-te,Tomari-te,te,tomari-te,,,Matsumora Kosaku line,proposed
Tomari-te,tomari-te,Tomari-te,te,tomari-te,,,,proposed
tomarite,tomari-te,Tomari-te,te,tomari-te,,,,proposed
Toon-Ryu,toon-ryu,Toon-Ryu,naha-te,naha-te,Kyoda Jūhatsu,1934,"Kyoda Juhatsu, from Higaonna Kanryo | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] https://en.wikipedia.org/wiki/T%C5%8Don-ry%C5%AB",proposed
Toshin-ryu,toshin-ryu,Toshin-Ryu,,other,,,"Koryu, identification uncertain",proposed
Toyama-ryu,toyama-ryu,Toyama-Ryu,,other,,,Military-derived swordsmanship; unrelated to Toyama Kanken's Shudokan,proposed
Kenyukai Uechi-Ryu,uechi-ryu,Uechi-Ryu,pangai-noon,uechi-ryu,Uechi Kanbun,1932,"Kenyukai branch | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Uechi-Ry%C5%AB",proposed
Uechi Kan,uechi-ryu,Uechi-Ryu,,uechi-ryu,,,Dojo/organisational variant,proposed
Uechi-Ryu,uechi-ryu,Uechi-Ryu,,uechi-ryu,,,Uechi Kanbun; from Fujian Pangai-noon,proposed
Uechiryu,uechi-ryu,Uechi-Ryu,,uechi-ryu,,,,proposed
uechiryu,uechi-ryu,Uechi-Ryu,,uechi-ryu,,,,proposed
CategorieWado-ryu,wado-ryu,Wado-Ryu,shotokan,japanese,Hironori Ōtsuka,1934,"Scrape artefact (category prefix) | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed",proposed
WADOKAI,wado-ryu,Wado-Ryu,shotokan,japanese,,,,proposed
Wado-Kai,wado-ryu,Wado-Ryu,shotokan,japanese,,,JKF Wadokai organisational variant,proposed
Wado-Ryu,wado-ryu,Wado-Ryu,shotokan,japanese,,,Otsuka Hironori; Shotokan plus Shindo Yoshin-ryu jujutsu,proposed
WadoKai,wado-ryu,Wado-Ryu,shotokan,japanese,,,,proposed
Wadokai,wado-ryu,Wado-Ryu,shotokan,japanese,,,Organisational variant,proposed
wadokai,wado-ryu,Wado-Ryu,shotokan,japanese,,,,proposed
wadoryu,wado-ryu,Wado-Ryu,shotokan,japanese,,,,proposed
Washin-Ryu karate,washin-ryu,Washin-Ryu,,japanese,Hidy Ochiai,1966,"Hidy Ochiai | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikipedia",proposed
World Oyama Karate,world-oyama,World Oyama Karate,kyokushin,kyokushin,Shigeru Ōyama,1985,"Oyama Shigeru | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wikiped",proposed
Yagyu Shingan-ryu,yagyu-shingan-ryu,Yagyu Shingan-Ryu,,other,,,Sogo bujutsu koryu,proposed
Kuwana Han-den Yamamoto-ryu,yamamoto-ryu,Kuwana Han-den Yamamoto-Ryu,,other,,,Iaijutsu koryu,proposed
Yamanni-Ryu,yamanni-ryu,Yamanni-Ryu,okinawan-kobudo,kobudo,Chinen Masami (named the style; Chinen family lineage from Chinen Umikana),,"Okinawan bojutsu lineage (Yamane-ryu). Curators disagreed on parent: B used generic okinawan-kobudo umbrella, A left empty; reconciled to empty since okinawan-kobudo is a generic label, not a lineage parent | [taxonomy:kobudo + uechi-ryu + ",proposed
Yoseikan,yoseikan-budo,Yoseikan Budo,,other,,,Mochizuki Minoru composite budo,proposed
Yoseikan Budo,yoseikan-budo,Yoseikan Budo,,other,,,,proposed
Yoseikan Karate,yoseikan-budo,Yoseikan Budo,,other,,,"Karate line within Yoseikan, via Funakoshi",proposed
Yoshin-ryu,yoshin-ryu,Yoshin-Ryu,,other,,,Jujutsu koryu,proposed
Yoshinkan,yoshinkan-aikido,Yoshinkan Aikido,aikido,other,,,Shioda Gozo,proposed
Yoshinkan Aikido,yoshinkan-aikido,Yoshinkan Aikido,aikido,other,,,,proposed
Aikido Yoshokai,yoshokai-aikido,Yoshokai Aikido,yoshinkan-aikido,other,,,Kushida Takashi,proposed
Yoshokai,yoshokai-aikido,Yoshokai Aikido,yoshinkan-aikido,other,,,,proposed
Yoshukai Karate,yoshukai,Yoshukai,chito-ryu,japanese,Katsuoh Yamamoto,1963,"Yamamoto Mamoru, Chito-Ryu offshoot | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirm",proposed
Okinawa Kenpo,okinawa-kenpo,Okinawa Kenpō,,shuri-te,Shigeru Nakamura,1953,"[wave4] Shigeru Nakamura's style, continued by Seikichi Odo; blends Shuri and Tomari te | [taxonomy:shorin-ryu-tree/confirmed] http://www.ikkf.org/history.html | https://dojosanrin.com/okinawa-kenpo-karate/",proposed
Okinawan Kenpo,okinawa-kenpo,Okinawa Kenpō,,shuri-te,,,[wave4],proposed
okinawa-kenpo,okinawa-kenpo,Okinawa Kenpō,,shuri-te,,,[wave4],proposed
ryukyu-kempo,okinawa-kenpo,Okinawa Kenpō,,shuri-te,,,[wave4] Term used broadly for the Nakamura/Oyata line,proposed
ryu-te,ryu-te,Ryū-te,okinawa-kenpo,shuri-te,Seiyū Oyata,1995,"[wave4] Seiyu Oyata's art, from Okinawa Kenpō | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Ry%C5%ABky%C5%AB_Kempo",proposed
ufuchiku-kobujutsu,ufuchiku-kobujutsu,Ufuchiku Kobujutsu,okinawan-kobudo,kobudo,Kanagusuku Sanda (Ufuchiku),,"[wave4] Kanagusuku/Kina police kobudō line | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Ufuchiku_Kobudo",proposed
kishimoto-di,kishimoto-di,KishimotoDi,shuri-te,shuri-te,Kishimoto Sōkō (lineage from Tachimura no Pēchin),,"[wave4] Tachimura/Kishimoto shuri-te tradition | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] https://blackbeltwiki.com/kishimotodi | https://ilpr",proposed
