kata,person,person_as_written,person_id,in_dataset,role,era,disputed
Kicho Hyung,Gichin Funakoshi,Gichin Funakoshi and Gigo Funakoshi (Taikyoku model); adapted by Hwang Kee and Won Kuk Lee,Q41105,yes,originated,Taikyoku c. 1936-1940; Korean versions mid-1940s,
Kicho Hyung,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,created,Taikyoku c. 1936-1940; Korean versions mid-1940s,
Kicho Hyung,Hwang Kee,Hwang Kee,A0001,yes,standardised,Taikyoku c. 1936-1940; Korean versions mid-1940s,
Kicho Hyung,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Taikyoku c. 1936-1940; Korean versions mid-1940s,
Ko-Dang,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972; removed from the official 24 c. 1986,
Ko-Dang,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972; removed from the official 24 c. 1986,
Kong Sang Koon,"Kata attributed to Tode Sakugawa, after the envoy Kusanku","Kata attributed to Tode Sakugawa, after the envoy Kusanku",,NO — person missing,originated,Kata c. 1760s-1800s; in Korea from mid-1940s,
Kong Sang Koon,Kusanku,Kusanku,Q1929108,yes,created,Kata c. 1760s-1800s; in Korea from mid-1940s,
Kong Sang Koon,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Kata c. 1760s-1800s; in Korea from mid-1940s,
Kong Sang Koon,Hwang Kee,Hwang Kee,A0001,yes,brought,Kata c. 1760s-1800s; in Korea from mid-1940s,
Koryo,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,Original version 1965-1967; current version 1972,
Koryo,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,Original version 1965-1967; current version 1972,
Koryo,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,Original version 1965-1967; current version 1972,
Kwang-Gae,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By the mid-1960s,
Kwang-Gae,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By the mid-1960s,
Moon-Moo,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Moon-Moo,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
O Sip Sa Bo,Anko Itosu,Shuri-te transmission via Sokon Matsumura and Anko Itosu,Q527422,yes,originated,19th century; in Korea from mid-1940s,
O Sip Sa Bo,Anko Itosu,Anko Itosu,Q527422,yes,standardised,19th century; in Korea from mid-1940s,
O Sip Sa Bo,Hwang Kee,Hwang Kee,A0001,yes,brought,19th century; in Korea from mid-1940s,
Palgwae series,Korea Taekwondo Association poomsae committee,Korea Taekwondo Association poomsae committee,,"group or body, not an individual",originated,"Created 1965-1967, adopted 1967; superseded 1971-1972",
Palgwae series,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,"Created 1965-1967, adopted 1967; superseded 1971-1972",
Palgwae series,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,"Created 1965-1967, adopted 1967; superseded 1971-1972",
Po-Eun,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By the mid-1960s,
Po-Eun,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By the mid-1960s,
Pyongwon,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Pyongwon,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Pyongwon,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
Pyung Ahn series,Anko Itosu,Anko Itosu,Q527422,yes,created,Created c. 1904-1907; in Korea from mid-1940s,
Pyung Ahn series,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Created c. 1904-1907; in Korea from mid-1940s,
Pyung Ahn series,Byung Jick Ro,Byung Jick Ro,A0151,yes,brought,Created c. 1904-1907; in Korea from mid-1940s,
Pyung Ahn series,Hwang Kee,Hwang Kee,A0001,yes,brought,Created c. 1904-1907; in Korea from mid-1940s,
Ro Hai,Kosaku Matsumora,Tomari-te kata associated with Kosaku Matsumora; three versions standardised by Anko Itosu,Q3028499,yes,originated,19th century; in Korea from mid-1940s,
Ro Hai,Anko Itosu,Anko Itosu,Q527422,yes,standardised,19th century; in Korea from mid-1940s,
Ro Hai,Hwang Kee,Hwang Kee,A0001,yes,brought,19th century; in Korea from mid-1940s,
Ro Hai,Yun Kwae-byung,Yun Kwae-byung,A0152,yes,brought,19th century; in Korea from mid-1940s,
Saju Jirugi / Saju Makgi,Choi Hong-hi,Choi Hong-hi and early Oh Do Kwan instructors,Q356335,yes,originated,c. 1955-1960s,
Saju Jirugi / Saju Makgi,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1960s,
Saju Jirugi / Saju Makgi,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1960s,
Sam-Il,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Sam-Il,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Se-Jong,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Se-Jong,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Sip Soo,Unknown,Unknown; Tomari-te kata standardised through Itosu,,"group or body, not an individual",originated,Jitte 19th century; in Korea from mid-1940s,
Sip Soo,Anko Itosu,Anko Itosu,Q527422,yes,standardised,Jitte 19th century; in Korea from mid-1940s,
Sip Soo,Hwang Kee,Hwang Kee,A0001,yes,brought,Jitte 19th century; in Korea from mid-1940s,
Sip Soo,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Jitte 19th century; in Korea from mid-1940s,
Sipjin,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Sipjin,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Sipjin,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
So-San,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
So-San,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Songahm series,Haeng Ung Lee,Haeng Ung Lee,,NO — person missing,created,"Introduced 1983, completed through the 1990s",
Taebaek,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Taebaek,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Taebaek,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
Taegeuk Chil Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Chil Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Chil Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Taegeuk Ee Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Ee Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Ee Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Taegeuk Il Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Il Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Il Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Taegeuk Oh Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Oh Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Oh Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Taegeuk Pal Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Pal Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Pal Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Taegeuk Sa Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Sa Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Sa Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Taegeuk Sam Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Sam Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Sam Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Taegeuk Yuk Jang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1971-1972,
Taegeuk Yuk Jang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1971-1972,
Taegeuk Yuk Jang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1971-1972,
Toi-Gye,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1955-1962,
Toi-Gye,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1962,
Toi-Gye,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1962,
Tong-Il,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Tong-Il,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
U-Nam,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,Published 1959; dropped in the 1960s,
U-Nam,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,Published 1959; dropped in the 1960s,
Ul-Ji,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1960 (Choi aged 42); in canon by 1972,
Ul-Ji,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1960 (Choi aged 42); in canon by 1972,
Won-Hyo,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1955-1962,
Won-Hyo,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1962,
Won-Hyo,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1962,
Yon-Gae,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Yon-Gae,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Yoo-Sin,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Yoo-Sin,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Yuk Ro series,Hwang Kee,Hwang Kee,A0001,yes,created,"Created from 1958, after Hwang Kee's 1957 discovery of the Muye Dobo Tongji",
Yul-Gok,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1955-1962,
Yul-Gok,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1962,
Yul-Gok,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1962,
Yun Bi,linked to the envoy Wang Ji,Traditionally linked to the envoy Wang Ji; Tomari-te transmission,,NO — person missing,originated,Wanshu 17th-19th century tradition; in Korea from mid-1940s,
Yun Bi,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Wanshu 17th-19th century tradition; in Korea from mid-1940s,
Yun Bi,Hwang Kee,Hwang Kee,A0001,yes,brought,Wanshu 17th-19th century tradition; in Korea from mid-1940s,
Ashihara kata series,Hideyuki Ashihara,Hideyuki Ashihara,Q919033,yes,created,"1980s (style founded 1980; kata published in Fighting Karate, 1985)",
Enshin kata series,Joko Ninomiya,Joko Ninomiya,Q562887,yes,created,1988 onwards,
Garyu,Masutatsu,Masutatsu (Mas) Oyama,,NO — person missing,originated,c. 1950s-1960s,
Garyu,Mas Oyama,Mas Oyama,Q294548,yes,created,c. 1950s-1960s,
Pinan sono ichi-go,Anko Itosu,Anko Itosu (originals); Kyokushin adaptation by Mas Oyama,Q527422,yes,originated,originals c. 1904; Kyokushin versions 1950s-60s,
Pinan sono ichi-go,Anko Itosu,Anko Itosu,Q527422,yes,created,originals c. 1904; Kyokushin versions 1950s-60s,
Pinan sono ichi-go,Mas Oyama,Mas Oyama,Q294548,yes,standardised,originals c. 1904; Kyokushin versions 1950s-60s,
Sanchin (Kyokushin),Fujian Chinese lineage via Kanryo Higaonna,Fujian Chinese lineage via Kanryo Higaonna; closed-fist version by Chojun Miyagi; brought into Kyokushin by Mas Oyama,,"group or body, not an individual",originated,Qing-era China and Meiji Okinawa; in Kyokushin from the 1950s,
Sanchin (Kyokushin),Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,Qing-era China and Meiji Okinawa; in Kyokushin from the 1950s,
Sanchin (Kyokushin),Mas Oyama,Mas Oyama,Q294548,yes,brought,Qing-era China and Meiji Okinawa; in Kyokushin from the 1950s,
Sushiho,Shuri-te lineage,Shuri-te lineage (Matsumura/Itosu line); Kyokushin version by Mas Oyama,,"group or body, not an individual",originated,19th-century Okinawa; Kyokushin version 1950s-60s,
Sushiho,Mas Oyama,Mas Oyama,Q294548,yes,renamed,19th-century Okinawa; Kyokushin version 1950s-60s,
Taikyoku sono ichi-san,Gigo Funakoshi,adapted by Mas Oyama from the Shotokan Taikyoku of Gichin and Gigo Funakoshi,Q628761,yes,originated,1950s-1964 (Kyokushinkaikan syllabus),
Taikyoku sono ichi-san,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,created,1950s-1964 (Kyokushinkaikan syllabus),
Taikyoku sono ichi-san,Gigo Funakoshi,Gigo Funakoshi,Q628761,yes,created,1950s-1964 (Kyokushinkaikan syllabus),
Taikyoku sono ichi-san,Mas Oyama,Mas Oyama,Q294548,yes,standardised,1950s-1964 (Kyokushinkaikan syllabus),
Tensho (Kyokushin),Chojun Miyagi,"Chojun Miyagi (created 1921, drawing on the Chinese Rokkishu); brought into Kyokushin by Mas Oyama",Q221121,yes,originated,1921; in Kyokushin from the 1950s-60s,
Tensho (Kyokushin),Chojun Miyagi,Chojun Miyagi,Q221121,yes,created,1921; in Kyokushin from the 1950s-60s,
Tensho (Kyokushin),Mas Oyama,Mas Oyama,Q294548,yes,brought,1921; in Kyokushin from the 1950s-60s,
Tsuki no Kata,"Seigo Tada, founder of Seigokan Goju-ryu","Seigo Tada, founder of Seigokan Goju-ryu",,NO — person missing,originated,mid-20th century (Seigokan founded 1945); in Kyokushin by the 1960s-70s,
Tsuki no Kata,Seigo Tada,Seigo Tada,Q7446692,yes,created,mid-20th century (Seigokan founded 1945); in Kyokushin by the 1960s-70s,
Tsuki no Kata,Tadashi Nakamura,Tadashi Nakamura,Q706955,yes,brought,mid-20th century (Seigokan founded 1945); in Kyokushin by the 1960s-70s,
Yantsu,uncertain,uncertain; plausibly adapted by Mas Oyama from the kata Ansan/Hansan of Motobu-ha Shito-ryu,,NO — person missing,originated,Kyokushin form standardised 1950s-60s,
Yantsu,Mas Oyama,Mas Oyama,Q294548,yes,standardised,Kyokushin form standardised 1950s-60s,
Anan,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; brought to Okinawa c. 1840s,
Anan,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Anan,Kenko Nakaima,Kenko Nakaima,C00232,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Anan,Teruo Hayashi,Teruo Hayashi,C00586,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Anan,Tsuguo Sakumoto,Tsuguo Sakumoto,C00625,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Chikan,Kaho Kojo,Kaho Kojo,C00108,yes,brought,"imported in the 4th family generation (Kaho Kojo, 1849-1925)",
Gekisai dai ichi,Chojun Miyagi,Chojun Miyagi,Q221121,yes,created,1940,
Gekisai dai ni,Chojun Miyagi,Chojun Miyagi,Q221121,yes,created,1940,
Hakkaku,Kojo family tradition ascribes the animal kata to the lineage of Kojo Uekata,Kojo family tradition ascribes the animal kata to the lineage of Kojo Uekata (Cai Zhaogong),,"group or body, not an individual",originated,undocumented; family tradition reaches back to the 18th century,
Hakkaku,Kojo UEKATA,Kojo UEKATA,C00269,yes,brought,undocumented; family tradition reaches back to the 18th century,
Hakko,Kojo family tradition ascribes the animal kata to the lineage of Kojo Uekata,Kojo family tradition ascribes the animal kata to the lineage of Kojo Uekata (Cai Zhaogong),,"group or body, not an individual",originated,undocumented; family tradition reaches back to the 18th century,
Hakko,Kojo UEKATA,Kojo UEKATA,C00269,yes,brought,undocumented; family tradition reaches back to the 18th century,
Hakuryu,Kojo family tradition ascribes the animal kata to the lineage of Kojo Uekata,Kojo family tradition ascribes the animal kata to the lineage of Kojo Uekata (Cai Zhaogong),,"group or body, not an individual",originated,undocumented; family tradition reaches back to the 18th century,
Hakuryu,Kojo UEKATA,Kojo UEKATA,C00269,yes,brought,undocumented; family tradition reaches back to the 18th century,
Heiku,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; brought to Okinawa c. 1840s,
Heiku,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Heiku,Kenko Nakaima,Kenko Nakaima,C00232,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Heiku,Teruo Hayashi,Teruo Hayashi,C00586,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Kukan,Kaho Kojo,Kaho Kojo,C00108,yes,brought,"imported in the 4th family generation (Kaho Kojo, 1849-1925)",
Kururunfa,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,late 19th to early 20th century,
Kururunfa,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,late 19th to early 20th century,
Nepai,Gokenki,Gokenki (Wu Xianhui),C00084,yes,originated,brought to Okinawa c. 1910s-1920s,
Nepai,Gokenki,Gokenki,C00084,yes,brought,brought to Okinawa c. 1910s-1920s,
Nepai,Juhatsu Kyoda,Juhatsu Kyoda,A0012,yes,standardised,brought to Okinawa c. 1910s-1920s,
Nepai,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,renamed,brought to Okinawa c. 1910s-1920s,
Niseishi (Ryuei-ryu),Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; brought to Okinawa c. 1840s,
Niseishi (Ryuei-ryu),Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Niseishi (Ryuei-ryu),Kenko Nakaima,Kenko Nakaima,C00232,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Ohan,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; brought to Okinawa c. 1840s,
Ohan,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Ohan,Kenko Nakaima,Kenko Nakaima,C00232,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Pachu,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; brought to Okinawa c. 1840s,
Pachu,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Pachu,Kenko Nakaima,Kenko Nakaima,C00232,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Pachu,Teruo Hayashi,Teruo Hayashi,C00586,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Paiho,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; brought to Okinawa c. 1840s,
Paiho,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Paiho,Kenko Nakaima,Kenko Nakaima,C00232,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Paiku,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; brought to Okinawa c. 1840s,
Paiku,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Paiku,Kenko Nakaima,Kenko Nakaima,C00232,yes,standardised,Qing-era China; brought to Okinawa c. 1840s,
Paiku,Teruo Hayashi,Teruo Hayashi,C00586,yes,brought,Qing-era China; brought to Okinawa c. 1840s,
Saifa,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,late 19th to early 20th century,
Saifa,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,late 19th to early 20th century,
Sanchin,Ryu Ryu Ko,"Ryu Ryu Ko (transmitted the Higaonna line; ultimate creator unknown, Fujian tradition)",Q954330,yes,originated,Qing-era China; taught in Naha from c. 1880s,
Sanchin,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,Qing-era China; taught in Naha from c. 1880s,
Sanchin,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,Qing-era China; taught in Naha from c. 1880s,
Sanchin,Kanbun Uechi,Kanbun Uechi,Q2473562,yes,brought,Qing-era China; taught in Naha from c. 1880s,
Sanseiru,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; Okinawa from c. 1880s,
Sanseiru,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,Qing-era China; Okinawa from c. 1880s,
Sanseiru,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,Qing-era China; Okinawa from c. 1880s,
Sanseiru,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; Okinawa from c. 1880s,
Seiyunchin,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,late 19th to early 20th century,
Seiyunchin,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,late 19th to early 20th century,
Sepai,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,late 19th to early 20th century,
Sepai,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,late 19th to early 20th century,
Sesan,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; Okinawa from c. 1880s,
Sesan,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,Qing-era China; Okinawa from c. 1880s,
Sesan,Juhatsu Kyoda,Juhatsu Kyoda,A0012,yes,standardised,Qing-era China; Okinawa from c. 1880s,
Sesan,Norisato Nakaima,Norisato Nakaima,C00244,yes,brought,Qing-era China; Okinawa from c. 1880s,
Shisochin,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,late 19th to early 20th century,
Shisochin,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,late 19th to early 20th century,
Suparinpei,Ryu Ryu Ko,Ryu Ryu Ko (transmitted; ultimate creator unknown),Q954330,yes,originated,Qing-era China; Okinawa from c. 1880s,
Suparinpei,Kanryo Higaonna,Kanryo Higaonna,Q699236,yes,brought,Qing-era China; Okinawa from c. 1880s,
Suparinpei,Chojun Miyagi,Chojun Miyagi,Q221121,yes,standardised,Qing-era China; Okinawa from c. 1880s,
Suparinpei,Juhatsu Kyoda,Juhatsu Kyoda,A0012,yes,standardised,Qing-era China; Okinawa from c. 1880s,
Tenkan,Kaho Kojo,Kaho Kojo,C00108,yes,brought,"imported in the 4th family generation (Kaho Kojo, 1849-1925)",
Tensho,Chojun Miyagi,Chojun Miyagi,Q221121,yes,created,1921,
Ananku,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,created,c. 1930s (some accounts say as early as 1895),
Channan,Anko Itosu,Anko Itosu (as recorded; possibly reworking older Chinese material),Q527422,yes,originated,c. 1900-1905,
Channan,Anko Itosu,Anko Itosu,Q527422,yes,created,c. 1900-1905,
Chatan Yara no Kusanku,Chatan Yara,Chatan Yara,Q542989,yes,created,early-to-mid 18th century (attribution partly folklore),
Chatan Yara no Kusanku,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,standardised,early-to-mid 18th century (attribution partly folklore),
Chinte,Anko Itosu,Anko Itosu,Q527422,yes,standardised,19th century,
Chinte,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,19th century,
Chinto,Chinto,Chintō (shipwrecked Chinese sailor; folklore),KN001,yes,originated,mid-19th century,
Chinto,Sokon Matsumura,Sokon Matsumura,Q715769,yes,standardised,mid-19th century,
Chinto,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,mid-19th century,
Chinto,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,mid-19th century,
Gojushiho,Sokon Matsumura,Sokon Matsumura,Q715769,yes,standardised,19th century,
Gojushiho,Anko Itosu,Anko Itosu,Q527422,yes,standardised,19th century,
Gojushiho,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,19th century,
Hakutsuru,Sokon Matsumura,Sokon Matsumura (traditional attribution),Q715769,yes,originated,claimed mid-19th century; made public mid-20th century,
Hakutsuru,Sokon Matsumura,Sokon Matsumura,Q715769,yes,created,claimed mid-19th century; made public mid-20th century,
Hakutsuru,Nabe Matsumura,Nabe Matsumura,Q6956791,yes,standardised,claimed mid-19th century; made public mid-20th century,
Hakutsuru,Hohan Soken,Hohan Soken,Q3139173,yes,brought,claimed mid-19th century; made public mid-20th century,
Jiin,Anko Itosu,Anko Itosu,Q527422,yes,standardised,19th century,
Jiin,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,19th century,
Jitte,Anko Itosu,Anko Itosu,Q527422,yes,standardised,19th century,
Juroku,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,created,1941,
Kusanku,Kanga Sakukawa,"Kanga Sakukawa (attributed), after the envoy Kūsankū",Q921673,yes,originated,c. 1760s,
Kusanku,Kusanku,Kusanku,Q1929108,yes,brought,c. 1760s,
Kusanku,Kanga Sakukawa,Kanga Sakukawa,Q921673,yes,created,c. 1760s,
Kusanku,Anko Itosu,Anko Itosu,Q527422,yes,standardised,c. 1760s,
Kusanku,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,c. 1760s,
Kusanku Sho,Anko Itosu,Anko Itosu,Q527422,yes,created,late 19th century,
Kusanku Sho,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,late 19th century,
Matsumura no Passai,Sokon Matsumura,Sokon Matsumura,Q715769,yes,created,mid-19th century,
Matsumura no Passai,Hohan Soken,Hohan Soken,Q3139173,yes,standardised,mid-19th century,
Myojo,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,created,c. 1940s,
Naihanchi,Sokon Matsumura,Sokon Matsumura,Q715769,yes,standardised,19th century or earlier; Nidan and Sandan c. 1900,
Naihanchi,Anko Itosu,Anko Itosu,Q527422,yes,created,19th century or earlier; Nidan and Sandan c. 1900,
Naihanchi,Choki Motobu,Choki Motobu,Q1147708,yes,standardised,19th century or earlier; Nidan and Sandan c. 1900,
