id,label,parent,family,founder,founded,ancestry,n_people,aliases
bunbukan,Okinawa Dentō Kobudō Hozonkai Bunbukan,ryukyu-kobudo,kobudo,Nakamoto Masahiro,1982,Okinawa Dentō Kobudō Hozonkai Bunbukan < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,2,Okinawa Dentō Kobudō Hozonkai Bunbukan
isshin-ryu-kobudo,Isshin-ryū Kobudō,ryukyu-kobudo,kobudo,Shimabuku Tatsuo,,Isshin-ryū Kobudō < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,2,Isshin-ryū Kobudō
kenryo-ryu,Ryūkyū Kobudō Kenryō-ryū (琉球古武道賢亮流),ryukyu-kobudo-akamine,kobudo,Yonamine Kōsuke 与那嶺幸助,2000,Ryūkyū Kobudō Kenryō-ryū (琉球古武道賢亮流) < Ryūkyū Kobudō Hozon Shinkō Kai (Akamine line / Shinbukan) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,2,Ryūkyū Kobudō Kenryō-ryū (琉球古武道賢亮流); 琉球古武道賢亮流
kenshin-ryu-kobudo,Kenshin-ryū kobudō (Japan Kobudō Kenshin-ryū-kai),ryukyu-kobudo,kobudo,"Hayashi Teruo (林輝男, 1924-2004)",,Kenshin-ryū kobudō (Japan Kobudō Kenshin-ryū-kai) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,0,
kingai-ryu,Kingai-ryū,matayoshi-kobudo,kobudo,"Matayoshi Shinkō (from his teacher, the monk Kingai of Fuzhou)",,Kingai-ryū < Matayoshi Kobudo < Okinawan Kobudo,4,Kingai-ryū
kongo-ryu,Ryūkyū Kobudō Kongō-ryū (琉球古武道金剛流),ryukyu-kobudo,kobudo,"Sakagami Ryūshō (坂上隆祥, 1915-1993)",1984,Ryūkyū Kobudō Kongō-ryū (琉球古武道金剛流) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,0,
kongo-ryu-kobudo,Ryūkyū Kobudō Kongō-ryū (金剛流),ryukyu-kobudo,kobudo,Ryusho Sakagami,1984,Ryūkyū Kobudō Kongō-ryū (金剛流) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,0,
matayoshi-kobudo,Matayoshi Kobudo,okinawan-kobudo,kobudo,Matayoshi Shinkō,1960,Matayoshi Kobudo < Okinawan Kobudo,11,Matayoshi Kobudo; matayoshi-kobudo
matayoshi-kobudo-imka,"International Matayoshi Kobudō Association (IMKA, Guarelli line)",matayoshi-kobudo,kobudo,Andrea Guarelli,2015,"International Matayoshi Kobudō Association (IMKA, Guarelli line) < Matayoshi Kobudo < Okinawan Kobudo",0,"Associazione Italiana Kobudo di Okinawa (AIKO); I.M.K.A.; International Matayoshi Kobudō Association (IMKA, Guarelli line)"
matayoshi-kodokan,Matayoshi Kobudō Kōdōkan (Zen Okinawa Kobudō Renmei),matayoshi-kobudo,kobudo,Matayoshi Shinpō,1972,Matayoshi Kobudō Kōdōkan (Zen Okinawa Kobudō Renmei) < Matayoshi Kobudo < Okinawan Kobudo,3,All Okinawa Kobudo Federation; Kodokan Dojo; Matayoshi Kobudō Kōdōkan (Zen Okinawa Kobudō Renmei); Zen Okinawan Kobudo Renmei; 光道館; 全沖縄古武道連盟
okinawa-kobudo-doushi-renseikai,Okinawa Kobudō Dōshi Rensei-kai,matayoshi-kodokan,kobudo,Gakiya Yoshiaki,2002,Okinawa Kobudō Dōshi Rensei-kai < Matayoshi Kobudō Kōdōkan (Zen Okinawa Kobudō Renmei) < Matayoshi Kobudo < Okinawan Kobudo,1,OKDR; Okinawa Kobudo Doushi Rensei-kai; Okinawa Kobudō Dōshi Rensei-kai
okinawa-kobudo-kyokai,"Okinawa Kobudō Kyōkai (沖縄古武道協会, 1961)",okinawan-kobudo,kobudo,,1961,"Okinawa Kobudō Kyōkai (沖縄古武道協会, 1961) < Okinawan Kobudo",0,"Okinawa Kobudō Kyōkai (沖縄古武道協会, 1961); 沖縄古武道協会"
okinawan-kobudo,Okinawan Kobudo,,kobudo,"traditional (multiple lineages, no single founder)",,Okinawan Kobudo,91,Karate Kobudo; Karatedo Kobudo; Kobudo; Kyu Kobudo; Okinawa Kobudo; Okinawan Kobudo; Okinawan kobudo; Okinawan kobudoNunti Bo; Ryukyu kobujutsu (generic); and Kobudo; and kobudo; detailing Kobudo; do Kobudo; from kobudo; illustrious kobudo; in Kobudo; in kobudo; incorporated Kobudo; jiku Kobudo; kobudo; okinawan-kobudo; the Kobudo; the kobudo; und Kobudo
ryukonkai,Ryūkyū Kobudō Ryūkonkai,okinawan-kobudo,kobudo,Iha Kōtarō,1981,Ryūkyū Kobudō Ryūkonkai < Okinawan Kobudo,1,RyuKonKai; Ryūkyū Kobudō Ryūkonkai; 琉棍会
ryukyu-dento-kobujutsu-hozon-budo-kyokai,Ryūkyū Dentō Kobujutsu Hozon Budō Kyōkai,ufuchiku-kobujutsu,kobudo,"Kyan Shinyei (喜屋武眞榮, 1912-1997)",1994,Ryūkyū Dentō Kobujutsu Hozon Budō Kyōkai < Ufuchiku Kobujutsu < Okinawan Kobudo,0,
ryukyu-kobudo,Ryukyu Kobudo,ryukyu-kobujutsu-kenkyukai,kobudo,Taira Shinken,1955,Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,13,Ryukyo Kobudo; Ryukyu Kobudo; Ryukyu Kobudo Hozon Shinkokai; Society for the Promotion and Preservation of Ryukyuan Kobudo; ryukyu-kobudo; yuishinkai; 琉球古武道保存振興会
ryukyu-kobudo-akamine,Ryūkyū Kobudō Hozon Shinkō Kai (Akamine line / Shinbukan),ryukyu-kobudo,kobudo,Akamine Eisuke,1970,Ryūkyū Kobudō Hozon Shinkō Kai (Akamine line / Shinbukan) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,5,Ryūkyū Kobudō Hozon Shinkō Kai (Akamine line / Shinbukan)
ryukyu-kobudo-hozonkai,Ryūkyū Kobudō Hozonkai (琉球古武道保存会),ryukyu-kobudo,kobudo,"Minowa Katsuhiko (蓑輪勝彦, d. 2003) line; currently headed by Kinjō Masakazu",,Ryūkyū Kobudō Hozonkai (琉球古武道保存会) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,0,
ryukyu-kobudo-tesshinkan,Ryūkyū Kobudō Tesshinkan,ryukyu-kobudo-akamine,kobudo,Tamayose Hidemi,1999,Ryūkyū Kobudō Tesshinkan < Ryūkyū Kobudō Hozon Shinkō Kai (Akamine line / Shinbukan) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,1,Ryūkyū Kobudō Tesshinkan
ryukyu-kobujutsu-hozon-shinko-kai,Ryūkyū Kobujutsu Hozon Shinkō Kai (Inoue line / Yuishinkai),ryukyu-kobudo,kobudo,Inoue Motokatsu (Gansho),1970,Ryūkyū Kobujutsu Hozon Shinkō Kai (Inoue line / Yuishinkai) < Ryukyu Kobudo < Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,2,Ryūkyū Kobujutsu Hozon Shinkō Kai (Inoue line / Yuishinkai); Yuishinkai
ryukyu-kobujutsu-kenkyukai,Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage),okinawan-kobudo,kobudo,Yabiku Mōden,1911,Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage) < Okinawan Kobudo,2,Ryukyu Kobujutsu Kenkyu Kai; Ryukyu Kobujutsu Research Association; Ryūkyū Kobujutsu Kenkyūkai (Yabiku lineage); 琉球古武術研究会
ufuchiku-den-hozonkai,Ufuchiku-den Ryūkyū Kobujutsu Hozonkai,ufuchiku-kobujutsu,kobudo,"Kina Shōsei (喜納昌盛, 1882-1981)",1975,Ufuchiku-den Ryūkyū Kobujutsu Hozonkai < Ufuchiku Kobujutsu < Okinawan Kobudo,0,
ufuchiku-den-shudokan,Kinjō Ufuchiku-den Ryūkyū Kobujutsu / Ryūkyū Bujutsu Shūdōkan (金城大筑傳琉球古武術・琉球武術修道館),ufuchiku-kobujutsu,kobudo,,,Kinjō Ufuchiku-den Ryūkyū Kobujutsu / Ryūkyū Bujutsu Shūdōkan (金城大筑傳琉球古武術・琉球武術修道館) < Ufuchiku Kobujutsu < Okinawan Kobudo,0,Kinjō Ufuchiku-den Ryūkyū Kobujutsu / Ryūkyū Bujutsu Shūdōkan (金城大筑傳琉球古武術・琉球武術修道館); 金城大筑傳琉球古武術
ufuchiku-kobujutsu,Ufuchiku Kobujutsu,okinawan-kobudo,kobudo,Kanagusuku Sanda (Ufuchiku),,Ufuchiku Kobujutsu < Okinawan Kobudo,7,Kanagusuku Kasshin Ryukyu Kobujutsu; Ufuchiku Kobudo; ufuchiku-kobujutsu
watoyama-ryu,Watoyama-ryū / Toyama-ryū kobujutsu (渡山流),okinawan-kobudo,kobudo,,,Watoyama-ryū / Toyama-ryū kobujutsu (渡山流) < Okinawan Kobudo,0,Watoyama-ryū / Toyama-ryū kobujutsu (渡山流); 渡山流
world-oshukai,"World Oshukai Federation (Okinawa Kobudō, Chinen Kenyū line)",matayoshi-kobudo,kobudo,Chinen Kenyū,1993,"World Oshukai Federation (Okinawa Kobudō, Chinen Kenyū line) < Matayoshi Kobudo < Okinawan Kobudo",1,"Oshukai; World Oshukai Dento Okinawa Shorin-Ryu Karate Do Kobudo Federation; World Oshukai Federation (Okinawa Kobudō, Chinen Kenyū line)"
yamane-ryu-oshiro-ha,Yamane-ryū bōjutsu (Ōshiro-ha),yamanni-ryu,kobudo,"Ōshiro Chōjo (大城朝恕, 1887-1935)",,Yamane-ryū bōjutsu (Ōshiro-ha) < Yamanni-Ryu < Okinawan Kobudo,0,
yamanni-chinen-ryu-rbkd,Yamanni Chinen-ryū / Ryūkyū Bujutsu Kenkyū Dōyūkai (RBKD),yamanni-ryu,kobudo,Kishaba Chōgi (with Oshiro Toshihiro),1985,Yamanni Chinen-ryū / Ryūkyū Bujutsu Kenkyū Dōyūkai (RBKD) < Yamanni-Ryu < Okinawan Kobudo,2,Association for the Study and Research of Okinawan Martial Arts; RBKD; Yamanni Chinen-ryū / Ryūkyū Bujutsu Kenkyū Dōyūkai (RBKD); Yamanni-Chinen-ryu bojutsu
yamanni-ryu,Yamanni-Ryu,okinawan-kobudo,kobudo,Chinen Masami (named the style; Chinen family lineage from Chinen Umikana),,Yamanni-Ryu < Okinawan Kobudo,16,Yamane-ryu; Yamanni Chinen-ryu; Yamanni-Ryu; yamanni-ryu
zen-okinawa-kobudo-renmei,Zen Okinawa Kobudō Renmei (全沖縄古武道連盟),matayoshi-kobudo,kobudo,"Matayoshi Shinpo (又吉真豊, 1921-1997)",1970,Zen Okinawa Kobudō Renmei (全沖縄古武道連盟) < Matayoshi Kobudo < Okinawan Kobudo,0,
chang-moo-kwan,Chang Moo Kwan,taekwondo,korean,Yoon Byung-in,1946,Chang Moo Kwan < Taekwondo < Shotokan < Shuri-te < Te,3,Chang Moo Kwan; Changmookwan; YMCA Kwon Bop Bu; YMCA Kwon Bup Bu; 창무관
chayon-ryu,"Chayon-Ryu (자연류, Natural Way)",kang-duk-won,korean,Kim Pyung-soo,1970,"Chayon-Ryu (자연류, Natural Way) < Kang Duk Won < Chang Moo Kwan < Taekwondo < Shotokan < Shuri-te < Te",1,
cheezic-tang-soo-do,Cheezic Tang Soo Do,moo-duk-kwan,korean,Robert Cheezic,1971,Cheezic Tang Soo Do < Moo Duk Kwan (Taekwondo) < Tang Soo Do < Shotokan < Shuri-te < Te,0,Cheezic Tang Soo Do; Cheezic Tang Soo Do Federation
choi-kwang-do,Choi Kwang Do (최광도),itf-taekwondo,korean,Choi Kwang-jo,1987,Choi Kwang Do (최광도) < ITF Taekwon-Do < Taekwondo < Shotokan < Shuri-te < Te,0,Choi Kwang Do (최광도); 최광도
chosun-yun-moo-kwan-kwonbeopbu,Chosun Yun Moo Kwan Kwonbeopbu (조선연무관 권법부),shotokan,korean,Chun Sang-sup,1946,Chosun Yun Moo Kwan Kwonbeopbu (조선연무관 권법부) < Shotokan < Shuri-te < Te,0,Chosun Yun Moo Kwan Kwonbeopbu (조선연무관 권법부); 조선연무관 권법부
chun-kuhn-taekwondo,Chun Kuhn Taekwondo (천권 태권도) / Chun Kuhn Do,itf-taekwondo,korean,Kim Bok-man,,Chun Kuhn Taekwondo (천권 태권도) / Chun Kuhn Do < ITF Taekwon-Do < Taekwondo < Shotokan < Shuri-te < Te,0,Chun Kuhn Taekwondo (천권 태권도) / Chun Kuhn Do; 천권 태권도
chun-kuk-do,Chun Kuk Do,moo-duk-kwan,korean,Chuck Norris,1990,Chun Kuk Do < Moo Duk Kwan (Taekwondo) < Tang Soo Do < Shotokan < Shuri-te < Te,2,Chuck Norris Syste; Chuck Norris System; Chun Kuk Do was renamed to the Chuck Norris Syste; UFAF; United Fighting Arts Federation; chuck-norris-system; chun-kuk-do
chung-do-kwan,Chung Do Kwan,taekwondo,korean,Won Kuk Lee,1944,Chung Do Kwan < Taekwondo < Shotokan < Shuri-te < Te,17,Blue Wave School; Chung Do Kwan; Chungdokwan; 청도관
gtf,Global Taekwon-Do Federation (GTF),itf-taekwondo,korean,Park Jung-tae,1990,Global Taekwon-Do Federation (GTF) < ITF Taekwon-Do < Taekwondo < Shotokan < Shuri-te < Te,1,GTF; Global Taekwon-Do Federation (GTF); Global Taekwondo Federation
han-moo-kwan,Han Moo Kwan,ji-do-kwan,korean,Lee Kyo-yoon,1954,Han Moo Kwan < Ji Do Kwan < Taekwondo < Shotokan < Shuri-te < Te,1,Han Moo Kwan; Hanmookwan; 한무관
hankido,Hankido (한기도),hapkido,korean,Myung Jae-nam,1993,"Hankido (한기도) < Hapkido (합기도, 合氣道) < Daito-Ryu Aiki-jujutsu",1,
hapkido,"Hapkido (합기도, 合氣道)",daito-ryu,korean,Choi Yong-sool,1948,"Hapkido (합기도, 合氣道) < Daito-Ryu Aiki-jujutsu",7,"Hapkido (합기도, 合氣道); 합기도 (合氣道)"
hwa-rang-do,Hwa Rang Do (화랑도),hapkido,korean,Joo Bang Lee and Joo Sang Lee,1968,"Hwa Rang Do (화랑도) < Hapkido (합기도, 合氣道) < Daito-Ryu Aiki-jujutsu",2,
international-tang-soo-do-federation,International Tang Soo Do Federation,moo-duk-kwan,korean,Chun Sik Kim,1984,International Tang Soo Do Federation < Moo Duk Kwan (Taekwondo) < Tang Soo Do < Shotokan < Shuri-te < Te,0,C.S. Kim Karate; ITF Tang Soo Do; International Tang Soo Do Federation
itf-chang-ung,"ITF (Vienna, Chang Ung / Ri Yong-son branch)",itf-taekwondo,korean,Chang Ung (elected 2002; succeeded by Ri Yong-son),2002,"ITF (Vienna, Chang Ung / Ri Yong-son branch) < ITF Taekwon-Do < Taekwondo < Shotokan < Shuri-te < Te",1,"ITF (Ri Yong-son); ITF (Vienna, Chang Ung / Ri Yong-son branch); ITF-Vienna; itftkd.sport"
itf-choi-jung-hwa,ITF (Choi Jung-hwa branch),itf-taekwondo,korean,Choi Jung-hwa,2002,ITF (Choi Jung-hwa branch) < ITF Taekwon-Do < Taekwondo < Shotokan < Shuri-te < Te,1,ITF (Choi Jung-hwa branch); ITF (Toronto); ITF Canada; ITF-C
itf-taekwondo,ITF Taekwon-Do,taekwondo,korean,Choi Hong-hi,1966,ITF Taekwon-Do < Taekwondo < Shotokan < Shuri-te < Te,20,Chang Hon Taekwon-Do; Chang Hon taekwondo; ITF; ITF Taekwon-Do; International Taekwon-Do Federation
itf-weiler,ITF (Quân–Trajtenberg–Weiler branch),itf-taekwondo,korean,"Trần Triệu Quân (elected 2003; succeeded by Pablo Trajtenberg, then Paul Weiler)",2003,ITF (Quân–Trajtenberg–Weiler branch) < ITF Taekwon-Do < Taekwondo < Shotokan < Shuri-te < Te,1,ITF (Benidorm); ITF (Quân–Trajtenberg–Weiler branch); ITF (Trajtenberg); ITF (Weiler); itf-tkd.org
jhoon-rhee-taekwondo,Jhoon Rhee Tae Kwon Do,chung-do-kwan,korean,Jhoon Rhee,1962,Jhoon Rhee Tae Kwon Do < Chung Do Kwan < Taekwondo < Shotokan < Shuri-te < Te,3,Jhoon Rhee Institute of Tae Kwon Do; Jhoon Rhee System; Jhoon Rhee Tae Kwon Do
ji-do-kwan,Ji Do Kwan,taekwondo,korean,"Chun Sang-sup (as Chosun Yun Mu Kwan Kwon Bup Bu; renamed Jidokwan under Yun Kwae-byung, 1953)",1946,Ji Do Kwan < Taekwondo < Shotokan < Shuri-te < Te,8,Chosun Yun Mu Kwan Kwon Bup Bu; Ji Do Kwan; Jidokwan; Wisdom Way School; Yun Mu Kwan; 지도관
jung-do-kwan,Jung Do Kwan,chung-do-kwan,korean,Lee Yong-woo,1956,Jung Do Kwan < Chung Do Kwan < Taekwondo < Shotokan < Shuri-te < Te,1,Jung Do Kwan; Jungdokwan; 정도관
kang-duk-won,Kang Duk Won,chang-moo-kwan,korean,Park Chul-hee and Hong Jong-pyo,1956,Kang Duk Won < Chang Moo Kwan < Taekwondo < Shotokan < Shuri-te < Te,3,House for Teaching Generosity; Kang Duk Won; Kangdukwon; 강덕원
korea-taekwondo-association,"Korea Taekwondo Association (대한태권도협회, KTA)",taekwondo,korean,"Unified Consolidation Committee of the kwans; presidents Choi Hong-hi (1965-66), Kim Yong-chae (from 1967), Kim Un-yong (from 1971)",1959,"Korea Taekwondo Association (대한태권도협회, KTA) < Taekwondo < Shotokan < Shuri-te < Te",0,
korean-martial-arts,Korean Martial Arts,,korean,,,Korean Martial Arts,25,Korean Martial Arts; Korean arts; Kuk Sool; 무술
kuk-mu-kwan,Kuk Mu Kwan (국무관),chung-do-kwan,korean,Kang Suh-chong,1953,Kuk Mu Kwan (국무관) < Chung Do Kwan < Taekwondo < Shotokan < Shuri-te < Te,0,Kuk Mu Kwan (국무관); 국무관
kuk-sool-won,Kuk Sool Won (국술원),korean-martial-arts,korean,Suh In-hyuk (In Hyuk Suh),1958,Kuk Sool Won (국술원) < Korean Martial Arts,0,
kukki-taekwondo,Kukki Taekwondo (WT),taekwondo,korean,Korea Taekwondo Association kwans (collective); Kukkiwon established 1972,1972,Kukki Taekwondo (WT) < Taekwondo < Shotokan < Shuri-te < Te,5,Kukki Taekwondo (WT); Kukkiwon Taekwondo; Kukkiwon taekwondo; Sport Taekwondo; WT Taekwondo; WTF Taekwondo; WTF taekwondo; World Taekwondo
moo-duk-kwan,Moo Duk Kwan (Taekwondo),tang-soo-do,korean,Hwang Kee,1945,Moo Duk Kwan (Taekwondo) < Tang Soo Do < Shotokan < Shuri-te < Te,8,Korean Soo Bahk Do Association Moo Duk Kwan; Moo Duk Kwan (Taekwondo); Moo Duk Kwan Tang Soo Do; Mudukkwan; School of Martial Virtue; 무덕관
moo-duk-kwan-taekwondo,Moo Duk Kwan Taekwondo,moo-duk-kwan,korean,"Kim Young-taek, Hong Chong-soo and Lee Kang-ik (faction that left Hwang Kee to join the KTA unification)",1965,Moo Duk Kwan Taekwondo < Moo Duk Kwan (Taekwondo) < Tang Soo Do < Shotokan < Shuri-te < Te,4,Korea Taekwondo Moo Duk Kwan; Moo Duk Hae; Moo Duk Kwan Taekwondo; Taekwondo Moo Duk Kwan
oh-do-kwan,Oh Do Kwan,taekwondo,korean,Choi Hong-hi and Nam Tae-hi,1954,Oh Do Kwan < Taekwondo < Shotokan < Shuri-te < Te,7,Gym of My Way; Oh Do Kwan; Ohdokwan; 오도관
shin-moo-kwan-hapkido,"Shin Moo Kwan (신무관, hapkido)",hapkido,korean,Kim Moo-hong,1961,"Shin Moo Kwan (신무관, hapkido) < Hapkido (합기도, 合氣道) < Daito-Ryu Aiki-jujutsu",1,
sin-moo-hapkido,Sin Moo Hapkido (신무합기도),hapkido,korean,Ji Han-jae,,"Sin Moo Hapkido (신무합기도) < Hapkido (합기도, 合氣道) < Daito-Ryu Aiki-jujutsu",0,Sin Moo Hapkido (신무합기도); 신무합기도
song-moo-kwan,Song Moo Kwan,taekwondo,korean,Byung Jick Ro,1944,Song Moo Kwan < Taekwondo < Shotokan < Shuri-te < Te,1,Ever Youthful House of Martial Arts Training; Song Moo Kwan; Songmookwan; 송무관
songahm-taekwondo,Songahm Taekwondo (ATA),taekwondo,korean,Haeng Ung Lee,1969,Songahm Taekwondo (ATA) < Taekwondo < Shotokan < Shuri-te < Te,2,ATA International; ATA Martial Arts; American Taekwondo Association; Songahm; Songahm Taekwondo (ATA)
soo-bahk-do,Soo Bahk Do,moo-duk-kwan,korean,Hwang Kee,1960,Soo Bahk Do < Moo Duk Kwan (Taekwondo) < Tang Soo Do < Shotokan < Shuri-te < Te,0,Soo Bahk Do; Soo Bahk Do Moo Duk Kwan; Subakdo; World Moo Duk Kwan; 수박도
sung-moo-kwan-hapkido,"Sung Moo Kwan (성무관, hapkido)",hapkido,korean,Ji Han-jae,1957,"Sung Moo Kwan (성무관, hapkido) < Hapkido (합기도, 合氣道) < Daito-Ryu Aiki-jujutsu",0,
taekkyon,Taekkyon (택견),,korean,,,Taekkyon (택견),2,Taekkyon (택견); 택견
taekwondo,Taekwondo,shotokan,korean,"Collective (kwan founders); name adopted 1955, championed by Choi Hong-hi",1955,Taekwondo < Shotokan < Shuri-te < Te,35,Korean Taekwondo; Tae Kwon Do; Taekwon-Do; Taekwon-do; Taekwondo; Taekwondoe; 태권도
tang-soo-do,Tang Soo Do,shotokan,korean,Hwang Kee,1945,Tang Soo Do < Shotokan < Shuri-te < Te,13,Dangsudo; Hwa Soo Do; Korean Tang Soo Do; Korean karate; Tang Soo Do; Tang Soo Do Moo Duk Kwan; soo-bahk-do; 唐手道; 당수도
world-tang-soo-do-association,World Tang Soo Do Association,moo-duk-kwan,korean,Jae Chul Shin (with Ki Yun Yi and William D. Clingan),1982,World Tang Soo Do Association < Moo Duk Kwan (Taekwondo) < Tang Soo Do < Shotokan < Shuri-te < Te,1,United States Tang Soo Do Moo Duk Kwan Federation; WTSDA; World Tang Soo Do Association
ymca-kwon-bup-bu,YMCA Kwon Bup Bu (YMCA 권법부) / Seoul Kwonbup Bu,shudokan,korean,Yoon Byung-in,1946,YMCA Kwon Bup Bu (YMCA 권법부) / Seoul Kwonbup Bu < Shudokan < Shuri-te < Te,0,
ashihara,Ashihara Karate,kyokushin,kyokushin,Hideyuki Ashihara,1980,Ashihara Karate < Kyokushin < Shotokan < Shuri-te < Te,4,Ashihara Kaikan; Ashihara Karate; Ashihara kaikan; NIKO; New International Karate Organization; 芦原会館
enshin,Enshin Karate,ashihara,kyokushin,Jōkō Ninomiya,1988,Enshin Karate < Ashihara Karate < Kyokushin < Shotokan < Shuri-te < Te,2,Enshin Karate; Sabaki Challenge
full-contact-karate,Full Contact Karate,,kyokushin,,,Full Contact Karate,2,Full contact karate; Knockdown karate
ibma-masuda,IBMA Kyokushinkaikan Masuda Dojo / Freestyle Karate Takushindō (IBMA極真会館増田道場・拓真道),kyokushin,kyokushin,Akira Masuda,1997,IBMA Kyokushinkaikan Masuda Dojo / Freestyle Karate Takushindō (IBMA極真会館増田道場・拓真道) < Kyokushin < Shotokan < Shuri-te < Te,0,
ifk-kyokushin,International Federation of Karate (Kyokushin),kyokushin,kyokushin,Steve Arneil,1992,International Federation of Karate (Kyokushin) < Kyokushin < Shotokan < Shuri-te < Te,2,IFK; International Federation of Karate (Kyokushin); Kyokushin IFK
iko-1,"IKO Kyokushinkaikan (Matsui-ha, IKO-1)",kyokushin,kyokushin,Shokei Matsui (successor kancho after Mas Ōyama's death),1994,"IKO Kyokushinkaikan (Matsui-ha, IKO-1) < Kyokushin < Shotokan < Shuri-te < Te",3,"IKO Kyokushinkaikan (Matsui-ha, IKO-1); IKO-1; International Karate Organization Kyokushinkaikan; Matsui-ha"
iko-3,IKO Matsushima (IKO-3),kyokushin,kyokushin,Yoshikazu Matsushima,1998,IKO Matsushima (IKO-3) < Kyokushin < Shotokan < Shuri-te < Te,1,IKO Matsushima (IKO-3); IKO-3; International Karate Organization Kyokushinkaikan Matsushima
kazumi-dojo,Japan Karate-dō Kazumi Dojo (日本空手道数見道場),kyokushin,kyokushin,Hajime Kazumi,2003,Japan Karate-dō Kazumi Dojo (日本空手道数見道場) < Kyokushin < Shotokan < Shuri-te < Te,0,
kenshikai-oliver,"Kenshikai (賢士会, William Oliver, New York)",seido-juku,kyokushin,William Oliver,2002,"Kenshikai (賢士会, William Oliver, New York) < Seidō Juku < Kyokushin < Shotokan < Shuri-te < Te",1,"Kenshikai (賢士会, William Oliver, New York); 賢士会"
kudo,Kudo,kyokushin,kyokushin,Takashi Azuma,1981,Kudo < Kyokushin < Shotokan < Shuri-te < Te,6,Daido Juku; Daido Juku Kudo; Daidojuku Kudo; Kakuto Karate; Kudo; 大道塾; 空道
kyokushin,Kyokushin,shotokan,kyokushin,Masutatsu (Mas) Ōyama,1964,Kyokushin < Shotokan < Shuri-te < Te,69,Dan Black Belt in Kyokushin Karate; IKO; KYOKUSHINKAI; KYOKUSHINKAIKAN; Kazumi Karate; Kyokushin; Kyokushin Kaikan; Kyokushin Karate; Kyokushin kaikan; Kyokushin karate; Kyokushin-kai; Kyokushinkai; Kyokushinkaikan; kyokushinkai; kyokushinkaikan
kyokushin-budokai,Kyokushin Budokai,kyokushin,kyokushin,Jon Bluming,,Kyokushin Budokai < Kyokushin < Shotokan < Shuri-te < Te,6,IBK; International Budo Kaikan; International Kyokushin Budokai; Kyokushin Budokai
kyokushin-kan,Kyokushin-kan,kyokushin,kyokushin,Hatsuo Royama (with Tsuyoshi Hiroshige),2003,Kyokushin-kan < Kyokushin < Shotokan < Shuri-te < Te,5,Kyokushin-kan; Kyokushin-kan Inte; Kyokushin-kan Karate; Kyokushinkan; Kyokushinkan International; kyokushinkan
kyokushin-kenbukai,Kyokushin Kenbukai (極真武道空手連盟 極真拳武會),kyokushin-kan,kyokushin,Tsuyoshi Hiroshige,2017,Kyokushin Kenbukai (極真武道空手連盟 極真拳武會) < Kyokushin-kan < Kyokushin < Shotokan < Shuri-te < Te,1,
kyokushin-rengokai,All Japan Kyokushin Union (全日本極真連合会 / 極真連合会),kyokushin,kyokushin,"Founded jointly in January 2001 by ten branch chiefs including Daigo Ōishi, Shigeru Tabata, Kazuyuki Hasegawa and Yasuhiro Shichinohe; Shigeru Tabata is representative director",2001,All Japan Kyokushin Union (全日本極真連合会 / 極真連合会) < Kyokushin < Shotokan < Shuri-te < Te,0,
nakamura-dojo,Kyokushin Karate Nakamura Dojo (国際空手道連盟 極真空手 中村道場),kyokushin,kyokushin,Makoto Nakamura,,Kyokushin Karate Nakamura Dojo (国際空手道連盟 極真空手 中村道場) < Kyokushin < Shotokan < Shuri-te < Te,0,
satojuku,Satojuku,kyokushin,kyokushin,Katsuaki Satō,1977,Satojuku < Kyokushin < Shotokan < Shuri-te < Te,1,Odo karate; Sato Juku; Satojuku Karate
seido-juku,Seidō Juku,kyokushin,kyokushin,Tadashi Nakamura,1976,Seidō Juku < Kyokushin < Shotokan < Shuri-te < Te,2,Seido Karate; Seidō Juku; World Seido Karate Organization
seidokaikan,Seidokaikan,ashihara,kyokushin,Kazuyoshi Ishii,1980,Seidokaikan < Ashihara Karate < Kyokushin < Shotokan < Shuri-te < Te,9,Seido Kaikan; Seidokaikan; Seidokaikan Karate
